user_id,Gender,Height_inch,Weight_lb,height_mtr,weight_kgs,BMI,age,activity,BMR,calories_per_day,weight,height,gender
4053950,Male,73.84701702,241.8935632,1.875714232,109.7209851,31.18576133,22,5.0,2392.955968,4546.616339,,,
4053953,Male,68.78190405,162.3104725,1.747060363,73.62273184,24.12104435,20,3.0,1839.842539,2851.755935,,,
4203397,Male,74.11010539,212.7408556,1.882396677,96.49755017,27.23290637,21,4.0,2219.48775,3828.616368,,,
1080905,Male,71.7309784,220.0424703,1.821966851,99.80950419,30.06705941,32,4.0,2159.997184,3725.995143,,,
439013,Male,69.88179586,206.3498006,1.774997615,93.59861875,29.70803263,38,4.0,2009.07891,3465.66112,,,
581601,Male,67.25301569,152.2121558,1.708226599,69.04221617,23.66049158,24,1.0,1729.300484,2075.160581,,,
243521,Male,68.78508125,183.9278886,1.747141064,83.42821885,27.33109484,33,1.0,1887.673246,2265.207896,,,
1303976,Male,68.34851551,167.9711105,1.736052294,76.19035195,25.27984308,30,4.0,1801.913846,3108.301385,,,
1073113,Male,67.01894966,175.9294404,1.702281321,79.80018673,27.53856082,37,1.0,1787.299925,2144.75991,,,
1412007,Male,63.45649398,156.3996764,1.611794947,70.94164202,27.30748203,40,4.0,1597.906734,2756.389116,,,
3480984,Male,71.19538228,186.6049256,1.80836271,84.64250141,25.88316636,26,2.0,1983.231463,2726.943261,,,
1164792,Male,71.64080512,213.7411695,1.81967645,96.95128456,29.27960534,36,1.0,2091.935754,2510.322905,,,
2064799,Male,64.76632913,167.1274611,1.64506476,75.80767934,28.01219905,28,1.0,1763.988651,2116.786381,,,
2662342,Male,69.2830701,189.4461814,1.759789981,85.93127231,27.74786422,18,1.0,2030.862547,2437.035057,,,
245823,Male,69.24373223,186.434168,1.758790799,84.56504713,27.33773476,38,5.0,1875.379404,3563.220868,,,
1341797,Male,67.6456197,172.1869301,1.71819874,78.102614,26.45567074,18,4.0,1901.006154,3279.235615,,,
3224202,Male,72.41831663,196.0285063,1.839425242,88.91696223,26.27969575,39,2.0,1969.975874,2708.716827,,,
2191884,Male,63.97432572,172.8834702,1.624947873,78.41855901,29.69887442,31,1.0,1769.634664,2123.561597,,,
671255,Male,69.6400599,185.9839576,1.768857521,84.3608353,26.96219007,34,2.0,1904.855706,2619.176595,,,
9259,Male,67.93600485,182.426648,1.725574523,82.74726812,27.78985139,32,4.0,1874.062345,3232.757545,,,
247467,Male,67.91505019,174.1159291,1.725042275,78.97759251,26.54021311,35,2.0,1801.034501,2476.422439,,,
3462228,Male,69.43943987,197.7314216,1.763761773,89.68939099,28.83110076,29,2.0,2010.27673,2764.130504,,,
824077,Male,66.14913196,149.173566,1.680187952,67.66393615,23.96853697,39,2.0,1593.917268,2191.636244,,,
4825861,Male,75.20597361,228.7617806,1.91023173,103.7645136,28.43653952,32,3.0,2259.756277,3502.62223,,,
803476,Male,67.89319634,162.0066518,1.724487187,73.4849212,24.71031542,18,4.0,1840.064139,3174.11064,,,
5594078,Male,68.1440328,192.3439766,1.730858433,87.24568903,29.12197871,35,1.0,1918.825076,2302.590091,,,
3085364,Male,69.08963143,184.4351744,1.754876638,83.65831963,27.16539048,23,3.0,1962.797844,3042.336658,,,
3091049,Male,72.80084352,206.8281894,1.849141425,93.81561209,27.43688863,21,3.0,2165.348475,3356.290136,,,
2289679,Male,67.42124228,175.2139224,1.712499554,79.47563349,27.10023546,40,5.0,1767.581737,3358.405299,,,
211550,Male,68.49641536,154.3426389,1.73980895,70.00858626,23.12853828,31,5.0,1711.162383,3251.208528,,,
1133677,Male,68.61811055,187.5068432,1.742900008,85.05160402,27.9986805,39,2.0,1867.266738,2567.491765,,,
528822,Male,74.03380762,212.9102253,1.880458714,96.57437491,27.31079236,27,3.0,2178.770538,3377.094333,,,
4006451,Male,71.52821604,195.0322432,1.816816687,88.46506526,26.80091256,36,4.0,1972.617119,3402.76453,,,
2119458,Male,69.1801611,205.1836213,1.757176092,93.06964915,30.14237756,34,4.0,2019.880892,3484.294539,,,
2569649,Male,69.57720237,204.1641255,1.76726094,92.60721401,29.65128106,36,1.0,2004.979901,2405.975881,,,
3078696,Male,70.40092889,192.9035151,1.788183594,87.49949122,27.36410926,33,2.0,1965.064128,2701.963176,,,
1452329,Male,69.07617117,197.4882426,1.754534748,89.57908694,29.09930953,30,4.0,1997.258536,3445.270975,,,
2920743,Male,67.19352328,183.8109732,1.706715491,83.37518696,28.62296107,39,2.0,1825.605581,2510.207675,,,
3195364,Male,65.80731565,163.8518249,1.671505818,74.32187696,26.60117891,29,5.0,1749.980869,3324.963651,,,
3080321,Male,64.30418789,163.1080171,1.633326372,73.98449169,27.73286551,40,3.0,1651.104532,2559.212024,,,
